,排名,排名变化,高校名称,高校类型,高校条件,所在地,综合分数,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
232,232,25.0,西安石油大学,理工,[],陕西,153.3,,,,,,,,,,
233,234,-19.0,海南师范大学,师范,[],海南,152.8,,,,,,,,,,
234,235,-4.0,上海应用技术大学,理工,[],上海,151.6,,,,,,,,,,
235,236,-14.0,桂林电子科技大学,理工,[],广西,151.2,,,,,,,,,,
236,237,45.0,聊城大学,综合,[],山东,150.8,,,,,,,,,,
237,237,-13.0,郑州轻工业大学,理工,[],河南,150.8,,,,,,,,,,
238,239,-14.0,武汉轻工大学,理工,[],湖北,150.0,,,,,,,,,,
239,240,12.0,安徽建筑大学,理工,[],安徽,149.9,,,,,,,,,,
240,240,-4.0,东北石油大学,理工,[],黑龙江,149.9,,,,,,,,,,
241,242,-23.0,成都信息工程大学,理工,[],四川,149.2,,,,,,,,,,
242,243,-20.0,东莞理工学院,理工,[],广东,149.0,,,,,,,,,,
243,244,-26.0,大连交通大学,理工,[],辽宁,148.1,,,,,,,,,,
244,245,-6.0,山东建筑大学,理工,[],山东,147.5,,,,,,,,,,
245,246,1.0,西华师范大学,师范,[],四川,147.4,,,,,,,,,,
246,247,11.0,西安工程大学,理工,[],陕西,147.2,,,,,,,,,,
247,248,-2.0,贵州师范大学,师范,[],贵州,146.7,,,,,,,,,,
248,249,17.0,成都大学,综合,[],四川,146.3,,,,,,,,,,
249,250,13.0,西安工业大学,理工,[],陕西,145.9,,,,,,,,,,
250,251,,浙大宁波理工学院,理工,[],浙江,145.1,,,,,,,,,,
251,252,-24.0,佛山科学技术学院,理工,[],广东,144.6,,,,,,,,,,
252,253,38.0,山西农业大学,农业,[],山西,143.8,,,,,,,,,,
253,254,-3.0,青岛理工大学,理工,[],山东,143.6,,,,,,,,,,
254,255,-14.0,华北水利水电大学,理工,[],河南,143.5,,,,,,,,,,
255,256,-27.0,厦门理工学院,理工,[],福建,143.2,,,,,,,,,,
256,257,-28.0,北京电子科技学院,理工,[],北京,142.9,,,,,,,,,,
257,258,10.0,南京工程学院,理工,[],江苏,142.7,,,,,,,,,,
258,259,4.0,北京联合大学,综合,[],北京,142.2,,,,,,,,,,
259,260,23.0,长春工业大学,理工,[],吉林,141.6,,,,,,,,,,
260,261,9.0,辽宁工程技术大学,理工,[],辽宁,141.3,,,,,,,,,,
261,262,3.0,湖州师范学院,师范,[],浙江,141.1,,,,,,,,,,
262,263,-26.0,江汉大学,综合,[],湖北,140.5,,,,,,,,,,
263,264,25.0,辽宁石油化工大学,理工,[],辽宁,140.2,,,,,,,,,,
264,265,77.0,青海师范大学,师范,[],青海,140.1,,,,,,,,,,
265,266,5.0,吉林师范大学,师范,[],吉林,139.9,,,,,,,,,,
266,267,2.0,北京石油化工学院,理工,[],北京,139.7,,,,,,,,,,
267,267,13.0,内蒙古师范大学,师范,[],内蒙古,139.7,,,,,,,,,,
268,269,-52.0,中国民航大学,理工,[],天津,139.1,,,,,,,,,,
269,270,-21.0,辽宁工业大学,理工,[],辽宁,138.7,,,,,,,,,,
270,271,-12.0,湖南工业大学,理工,[],湖南,138.6,,,,,,,,,,
271,272,44.0,延安大学,综合,[],陕西,138.5,,,,,,,,,,
272,273,-18.0,西华大学,综合,[],四川,138.2,,,,,,,,,,
273,274,-32.0,桂林理工大学,理工,[],广西,138.0,,,,,,,,,,
274,275,1.0,河北工程大学,理工,[],河北,137.0,,,,,,,,,,
275,275,-32.0,沈阳化工大学,理工,[],辽宁,137.0,,,,,,,,,,
276,277,-4.0,绍兴文理学院,师范,[],浙江,136.8,,,,,,,,,,
277,278,9.0,安徽工程大学,理工,[],安徽,136.6,,,,,,,,,,
278,279,13.0,浙江科技学院,理工,[],浙江,135.9,,,,,,,,,,
279,280,26.0,盐城工学院,理工,[],江苏,135.0,,,,,,,,,,
280,281,18.0,盐城师范学院,师范,[],江苏,134.8,,,,,,,,,,
281,282,-26.0,山西师范大学,师范,[],山西,134.5,,,,,,,,,,
282,283,11.0,赣南师范大学,师范,[],江西,133.9,,,,,,,,,,
283,284,1.0,大连海洋大学,农业,[],辽宁,133.7,,,,,,,,,,
284,285,-25.0,内蒙古工业大学,理工,[],内蒙古,133.6,,,,,,,,,,
285,286,19.0,淮阴师范学院,师范,[],江苏,133.3,,,,,,,,,,
286,287,-33.0,信阳师范学院,师范,[],河南,133.1,,,,,,,,,,
287,288,8.0,安庆师范大学,师范,[],安徽,132.9,,,,,,,,,,
288,289,-14.0,合肥学院,理工,[],安徽,132.8,,,,,,,,,,
289,290,-9.0,云南农业大学,农业,[],云南,132.6,,,,,,,,,,
290,291,-15.0,辽宁科技大学,理工,[],辽宁,132.5,,,,,,,,,,
291,292,-18.0,南宁师范大学,师范,[],广西,132.3,,,,,,,,,,
292,293,-15.0,沈阳理工大学,理工,[],辽宁,132.2,,,,,,,,,,
293,294,24.0,内蒙古民族大学,综合,[],内蒙古,131.3,,,,,,,,,,
